rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,Fun Rk,adjt
33,SMU,ACC,19-8,126.78796705276298,7,105.71395568031281,102,0.8899725843584119,33,21.389072663564306,9.610927336435692,10.389072663564308,7.610927336435691,6-Aug,0.6854414606738366,0.5474357719677883,0.8135896001865962,0.7032092215953847,0.5474357719677883,0.8157122685486493,0.690879016,0.8113304884502202,115.21879423048834,104.92249779037608,115.50686094083008,104.64055108989702,128.7829849792321,106.19212377544363,126.2724800847252,102.87494254955627,0.9134631053549686,11,0.018808591010630926,1160,1100,966.725,1.1999275905764306,1.1378623703742015,0.823141608,0.5714285714285714,1.981878824520639,35,134,68.95335373842042
34,Texas A&M,SEC,19-8,122.13123670411221,33,101.85184368189913,45,0.8897445769348185,34,21.189046624597598,9.810953375402407,11.189046624597593,6.810953375402407,5-Sep,0.6252414652454747,0.409223807,0.8258292905445606,0.6553399913626817,0.40922380723107477,0.8330905687910648,0.6922807041304694,0.8685309617761022,114.86095027966539,108.00685183630627,116.0000795367151,107.59278640311562,122.34773198135596,100.38595542789002,119.6030233852233,98.07723148072627,0.9073637657334318,9,0.008718238,1149,1109,994.3375000000001,1.155543263730876,1.1153154738707933,0.858505043,0.6428571428571429,1.575657518575181,40,156,70.86028006088479
35,Ohio St.,B10,17-10,123.59767280807819,21,103.1679278659887,65,0.8887214573735056,35,19.058328017619466,11.941671982380536,11.058328017619464,8.941671982380536,7-Sep,0.6898182094062397,0.4920111545787625,0.8258105596001303,0.7101974688421111,0.4920111545787625,0.8301999416869528,0.6479884012338328,0.8211452789267221,115.4037412473709,104.21384575452733,116.39180534106778,104.1149427031075,125.36301614820131,103.41544979732565,123.5898923462645,101.4578416171244,0.9062974506377566,12,-0.015703244,1235,1211,1067.1625,1.1572745481592541,1.1347850022840946,0.8477574700342428,0.5625,1.0158623157374256,46,216,66.43288027724066
36,Clemson,ACC,20-8,115.89269601700218,78,96.75238067358299,19,0.8885349200973219,36,21.740159313107235,9.259840686892765,11.740159313107235,6.259840686892765,5-Oct,0.6477846923925804,0.5192792206486339,0.7591561012373339,0.6580351061586772,0.5192792206486339,0.7582476901381527,0.7105541498567624,0.7713582376659776,113.70101064034039,106.52011044367882,114.09843543829568,106.16147330221158,114.47809770696396,95.43215759822748,116.81787250905307,94.54741734,0.9192661590729416,11,0.011049428481816559,1051,981,967.9624999999999,1.0857858646383514,1.0134690135206685,0.7537056346422469,0.6666666666666666,1.837852837242274,39,148,63.90962823491401
37,Auburn,SEC,15-12,125.73467027180399,12,105.68371545834674,100,0.8805675177203371,37,17.37621983592705,13.623780164072947,8.376219835927053,9.623780164072947,8-Jun,0.749071166,0.6253977955942255,0.8639107234211414,0.7546009835089168,0.6253977955942257,0.8479143970028608,0.5892518258274864,0.6395949775447817,119.24303759531614,103.7457472,119.52540458555863,104.0460709452871,125.58599094514291,105.49783436145324,125.44969507052583,105.41956709319258,0.880849632,17,0.00442329,1142,1143,972.7874999999999,1.173946005679555,1.174973979414826,0.7919272545388785,0.42857142857142855,1.2196391317506685,43,169,67.13888885479629
38,Cincinnati,B12,15-12,111.57470365100482,134,94.08092194599672,7,0.8766626870891879,38,17.099318546893553,13.90068145310645,9.099318547,8.900681453,7-Jul,0.6553527879299946,0.4699525754940571,0.8275101280490792,0.6779721133840706,0.469952575,0.8282084463046357,0.6722359760206574,0.8305192000744013,113.96414063443329,104.4571240210799,114.74235426311635,104.15800731129475,115.35078995361049,93.65278055276141,111.42325321126803,96.50857033,0.8392419489043925,11,-0.098319561,978,958,928.2375,1.0536096634751344,1.0320634535881172,0.8306525601990842,0.5,-1.800083548,70,354,67.90843870775956
39,Kentucky,SEC,17-10,120.07677129043914,45,101.53460855242524,41,0.8731290851806693,39,18.64826287200848,12.351737127991518,9.648262872008482,8.351737128,6-Aug,0.6969127215632841,0.5275207194634648,0.8542052949416877,0.7214534329732533,0.5275207194634648,0.8615159482858782,0.604478004,0.7308046099886278,117.5169553072233,105.7552399344545,118.00644921621637,104.92192719322107,120.0592047053401,102.05344762078832,116.89207795287963,101.76598898931418,0.8311239861629692,16,0.046099749,1089,1084,959.0125,1.1355430716492225,1.1303293752688313,0.8871032349905447,0.5714285714285714,1.994107736850749,34,78,67.68386688876564
40,UCLA,B10,18-9,120.89587428808397,40,102.6545349347426,55,0.8677194699300097,40,20.06799472986391,10.93200527013609,12.06799472986391,7.932005270136091,6-Oct,0.6722662717423938,0.47542802995794664,0.8075925629692009,0.6946280149020108,0.47542802995794664,0.8151880066212456,0.6531035102840491,0.8065225427654261,116.21004145392202,105.34715307358316,116.1064762153841,104.50031786496974,121.03322814879172,102.83064932507011,120.66438755024691,105.96338330284466,0.8166889069393698,11,0.048986367,1196,1185,1050.95,1.138017983729007,1.1275512631428708,0.8455697812294243,0.625,1.8541124593285372,38,73,64.95749228240145
41,Georgia,SEC,19-8,122.97697892058338,25,104.55769748425888,77,0.8659911045754022,41,21.048307384473635,9.951692615526364,9.048307384473636,8.951692615526364,7-Jul,0.6373083081658111,0.39759677815367905,0.8598975860342197,0.6605807072621751,0.39759677815367905,0.8505135449516449,0.6839781029173088,0.8662605488689165,114.92801484102996,107.2171953,115.63057766173291,106.65012915876076,123.27675763098675,105.80399529845057,124.96144769321451,103.14266358656026,0.9008549044318274,15,0.055324476,1148,1181,1001.0374999999999,1.1468101844336502,1.1797759824182412,0.817669401,0.5,2.017048684625952,33,63,72.24589203
42,Texas,SEC,17-10,126.77430095057758,8,107.81938552121008,140,0.8655805242663768,42,18.524863046069527,12.475136953930472,9.524863046,8.475136953930473,6-Aug,0.630510386,0.4171119366655512,0.8286660895798555,0.6641236617900002,0.4171119366655513,0.8425210188243243,0.6427477523821118,0.7704314444050037,115.20427075727665,106.38783821064848,116.4778992335643,105.74046055727877,128.0447980347701,107.99558884143902,126.95003430096664,106.80344870092607,0.8794506939435438,14,0.00605109,1155,1108,941.7749999999999,1.2264075814286854,1.1765018183748774,0.8910132711799649,0.5714285714285714,0.6245896205586206,48,164,66.59578171
43,Miami FL,ACC,21-6,120.29045376649195,44,102.42575574209583,54,0.8639940491595673,43,23.13658088445562,7.863419115544384,12.136580884455617,5.863419115544384,4-Oct,0.5878080454593908,0.4049262762026414,0.7576268311978008,0.6133654277895166,0.40492627620264127,0.7639048150467045,0.7313884855985903,0.8378143090781559,111.98007986809583,107.39630581959389,112.8035755078405,106.81627367277707,120.38858114637598,103.16934021967081,119.10438319690427,99.60756604001088,0.8865288201522955,8,0.074383981,1076,1024,945.6374999999999,1.137856736857411,1.0828673778271274,0.7858777585178667,0.7142857142857143,2.407027690109019,32,39,68.29445957262487
